Committee Name,URL,Bills Count,RSS URL,Chamber,State
Appropriations,https://legiscan.com/CA/pending/assembly-appropriations-committee/id/449,313,/gaits/feed/efc9441e4fa82d447bab856bd69b3eeb.rss,House,CA
Budget,https://legiscan.com/CA/pending/assembly-budget-committee/id/452,121,/gaits/feed/ddf0b88c3b0bc69927082ae8fae8dcf0.rss,House,CA
Health,https://legiscan.com/CA/pending/assembly-health-committee/id/457,81,/gaits/feed/38aa93665461663fd999a29f7bc3781c.rss,House,CA
Natural Resources,https://legiscan.com/CA/pending/assembly-natural-resources-committee/id/466,71,/gaits/feed/7330258da6ba6c2b14d9b51f029e6963.rss,House,CA
Public Safety,https://legiscan.com/CA/pending/assembly-public-safety-committee/id/468,67,/gaits/feed/c8ea621fe49d528d7d1dc765fb6f4e38.rss,House,CA
Appropriations,https://legiscan.com/CA/pending/senate-appropriations-committee/id/475,164,/gaits/feed/0c6ec19234d8657f74e6f99096b3e66e.rss,Senate,CA
Budget and Fiscal Review,https://legiscan.com/CA/pending/senate-budget-fiscal-review-committee/id/476,119,/gaits/feed/66b2142f644b593cff42e4d68cf4ee58.rss,Senate,CA
Judiciary,https://legiscan.com/CA/pending/senate-judiciary-committee/id/482,100,/gaits/feed/257196483767f5e504fb76e7ce091c4e.rss,Senate,CA
Rules,https://legiscan.com/CA/pending/senate-rules-committee/id/489,91,/gaits/feed/584db694fb4cde9a71e0cd3899bbe5db.rss,Senate,CA
Public Safety,https://legiscan.com/CA/pending/senate-public-safety-committee/id/487,40,/gaits/feed/7b5d559d9194e6a74f8c1372d57e6c56.rss,Senate,CA
