Bill Number,Bill URL,Summary,Text URL,State
AB1333,https://legiscan.com/CA/bill/AB1333/2025,"An act to amend Section 197 of the Penal Code, relating to crimes.",https://legiscan.com/CA/text/AB1333/2025,CA
SB712,https://legiscan.com/CA/bill/SB712/2025,"An act to amend Section 44011 of the Health and Safety Code, and to amend Section 4000.1 of the Vehicle Code, relating to air pollution.",https://legiscan.com/CA/text/SB712/2025,CA
SB672,https://legiscan.com/CA/bill/SB672/2025,"An act to amend Section 3051 of the Penal Code, relating to parole.",https://legiscan.com/CA/text/SB672/2025,CA
SB48,https://legiscan.com/CA/bill/SB48/2025,"An act to add Section 234.8 to the Education Code, relating to immigration enforcement, and declaring the urgency thereof, to take effect immediately.",https://legiscan.com/CA/text/SB48/2025,CA
AB49,https://legiscan.com/CA/bill/AB49/2025,"An act to amend Section 234.7 of the Education Code, relating to education.",https://legiscan.com/CA/text/AB49/2025,CA
AB15,https://legiscan.com/CA/bill/AB15/2025,"An act to add Chapter 4 (commencing with Section 11483) to Title 1 of Part 4 of the Penal Code, relating to crimes.",https://legiscan.com/CA/text/AB15/2025,CA
SB23,https://legiscan.com/CA/bill/SB23/2025,"An act to add and repeal Section 205.5.1 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",https://legiscan.com/CA/text/SB23/2025,CA
AB814,https://legiscan.com/CA/bill/AB814/2025,"An act to add and repeal Section 17140.7 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",https://legiscan.com/CA/text/AB814/2025,CA
AB54,https://legiscan.com/CA/bill/AB54/2025,"An act to add Chapter 25 (commencing with Section 27050) to Division 20 of the Health and Safety Code, relating to reproductive health.",https://legiscan.com/CA/text/AB54/2025,CA
AB1018,https://legiscan.com/CA/bill/AB1018/2025,"An act to add Chapter 24.6 (commencing with Section 22756) to Division 8 of the Business and Professions Code, to amend Section 51 of the Civil Code, and to add Article 3 (commencing with Section 12959) to Chapter 6 of Part 2.8 of Division 3 of Title...",https://legiscan.com/CA/text/AB1018/2025,CA
