Name,Party,URL,Bills Count,RSS URL,Chamber,State
Asm. Jesse Gabriel,D,https://legiscan.com/CA/people/jesse-gabriel/id/19658,197,/gaits/feed/56a403f01acd503e353ad391dc3f3256.rss,House,CA
Asm. Juan Alanis,R,https://legiscan.com/CA/people/juan-alanis/id/23203,135,/gaits/feed/4faa903bd5d504767e93bfaabe679238.rss,House,CA
Asm. Matt Haney,D,https://legiscan.com/CA/people/matt-haney/id/23137,117,/gaits/feed/4d30253bbcc06e2d2828f7852d08f453.rss,House,CA
Asm. Corey Jackson,D,https://legiscan.com/CA/people/corey-jackson/id/23210,117,/gaits/feed/488b01941005c300509b2b360f7f0687.rss,House,CA
Asm. Lori Wilson,D,https://legiscan.com/CA/people/lori-wilson/id/23128,116,/gaits/feed/ef4cfd629e5e4ee1b213cdc6cbfa0b8b.rss,House,CA
Senate Budget and Fiscal Review,,https://legiscan.com/CA/people/senate-budget-fiscal-review-committee/id/18877,119,/gaits/feed/9981f021594f64cd42e1f9caebb3479b.rss,Senate,CA
Sen. Tom Umberg,D,https://legiscan.com/CA/people/tom-umberg/id/19728,86,/gaits/feed/472f93ebe1350f5adc6716377e528775.rss,Senate,CA
Sen. Rosilicie Ochoa Bogh,R,https://legiscan.com/CA/people/rosilicie-ochoa-bogh/id/21728,83,/gaits/feed/865946d8e29a2061aa7785a0c5e00f6a.rss,Senate,CA
Sen. Sabrina Cervantes,D,https://legiscan.com/CA/people/sabrina-cervantes/id/18079,80,/gaits/feed/f87ab58051b25bdcd42efbca2be015ea.rss,Senate,CA
Sen. Scott Wiener,D,https://legiscan.com/CA/people/scott-wiener/id/18068,78,/gaits/feed/abb90ea228e087d840afbc1f87948b73.rss,Senate,CA
